Artist,Birth,Death,Art Title,DoC,Estimate,price,Dimentions,close date,Auction Title
Jean  Arp ,Hans,1966,Soleil Recerclé (cercle fond bleu),0,EUR 300 - EUR 400,"EUR 1,000",0,9 Jun 2020,"20 May - 9 Jun 2020 | Online Auction 18973
Collection Greta Stroeh : Hommage à Arp"
A SET OF FOUR FRENCH ORMOLU TWO-LIGHT WALL-LIGHTS,33,LIGHT,"ONE PAIR 18TH CENTURY, THE OTHER 19TH CENTURY",0,"GBP 2,000 – GBP 4,000","GBP 3,250",0,10 Apr 2019,"2019 | LIVE AUCTION 16804
INTERIORS: INCLUDING NOBLE & PRIVATE COLLECTIONS"
Charles Frederick de Brocktorff ,1775,27,Camelopard - a present from the Pacha of Egypt to the King - at Malta on its way to England,1826,"GBP 7,000 - GBP 10,000","GBP 15,000",(36.8 x 27.9cm.),5 Nov 2020,"15 Oct - 5 Nov 2020 | Online Auction 18885
Topographical Pictures including China Trade Paintings"
REMBRANDT HARMENSZ. VAN RIJN ,1606,1669,The Flight into Egypt: crossing a Brook,0,"GBP 8,000 – GBP 12,000","GBP 11,250",0,29 Mar 2017,"2017 | LIVE AUCTION 13878
PRINTS & MULTIPLES"
René Magritte ,1898,1967,Sans titre,0,"GBP 4,000 – GBP 6,000","GBP 3,000",(21 x 16.2 cm.),28 Feb 2019,"2019 | LIVE AUCTION 16932
IMPRESSIONIST AND MODERN WORKS ON PAPER"
A RESTAURATION ORMOLU-MOUNTED MAHOGANY BUREAU PLAT,79,lined,"POSSIBLY NORTH EUROPEAN, CIRCA 1820-1830, PARTIALLY REMOUNTED",0,"USD 7,000 - USD 10,000","USD 6,250",0,19 Oct 2021,"5 Oct - 19 Oct 2021 | Online Auction 19989
The Collector: English & European Furniture, Ceramics, Silver & Works of Art"
Sigmar Polke ,1941,2010,Untitled,1989,"GBP 50,000 – GBP 70,000","GBP 56,250",(101 x 72.5cm.),29 Sep 2016,"2016 | LIVE AUCTION 12724
FIRST OPEN | POST-WAR AND CONTEMPORARY ART | LONDON"
Kees van Bohemen ,1928,1986,Ochtendwandeling,1976,"EUR 8,000 – EUR 12,000","EUR 20,000",0,1 Dec 2015,"2015 | LIVE AUCTION 3059
MODERN ART"
Claude Monet ,1840,1926,L'église à Vétheuil,1881,"USD 1,500,000 – USD 2,500,000","USD 3,132,500",(59.7 x 73.3 cm.),11 Nov 2018,"2018 | LIVE AUCTION 15977
IMPRESSIONIST AND MODERN ART EVENING SALE INCLUDING PROPERTY FROM THE COLLECTION OF HERBERT AND ADELE KLAPPER"
Nairy Baghramian ,0,0,Besucher (Visitor),2008,"GBP 3,000 – GBP 4,000","GBP 10,000",(57.2 x 61 x 40.6cm.),23 Sep 2015,"2015 | LIVE AUCTION 10421
FIRST OPEN/LDN"
A LOUIS XVI ORMOLU-MOUNTED PLUM PUDDING MAHOGANY  CONSOLE DESSERTE,88,shaped,LATE 18TH CENTURY,0,"USD 4,000 - USD 6,000","USD 4,000",0,1 Jul 2021,"15 Jun - 1 Jul 2021 | Online Auction 20533
Treasures of a Storied Manhattan Collection"
